title,image,description
"Toujours plus chères, toujours plus attractives : le paradoxe des écoles de commerce",https://img.lemde.fr/2020/11/17/0/224/2481/1654/110/74/60/0/b180cc2_997451861-versionhd02.jpg,
"En Belgique, le folklore étudiant en suspens",https://img.lemde.fr/2020/11/13/0/0/4500/3000/110/74/60/0/d7caf10_236757690-075-vanderhasselt-brussels171120-npvbq.jpg,
"« Etre capable de politiser une cause » : le plaidoyer, débouché prisé des étudiants engagés",https://img.lemde.fr/2020/11/13/1118/0/4252/2829/110/74/60/0/7ca7eb2_81517556-pns-4723027.jpg,
"Pierre Ducrozet, écrivain : « Ce qui est frappant chez de nombreux jeunes d’aujourd’hui, c’est leur absence d’innocence »",https://img.lemde.fr/2020/11/12/0/0/5472/3648/110/74/60/0/5709904_101559894-000-ss5u6.jpg,
En ligne ou en amphithéâtre ? La question des examens universitaires divise,https://img.lemde.fr/2020/11/16/1/0/5120/3413/110/74/60/0/94eb5b7_218946946-000-1654np.jpg,
« On compte en France un psychologue pour 30 000 étudiants. C’est consternant »,https://img.lemde.fr/2020/11/15/962/0/3793/2528/110/74/60/0/6862d4e_605594330-pns-6279415-1.jpg,
"« Etre ingénieur et écologiste est une nécessité » : dans les grandes écoles, une nouvelle génération de jeunes engagés",https://img.lemde.fr/2020/11/13/0/0/4752/3168/110/74/60/0/16eff4a_36724983-photo-benoit.jpg,
Ethiopie : un premier convoi d’aide humanitaire entre au Tigré,https://img.lemde.fr/2020/12/11/0/0/6000/4000/110/74/60/0/8de3d21_5860909-01-06.jpg,
La « chorégraphie » d’un artiste pour esquiver la surveillance omniprésente en Chine,https://img.lemde.fr/2019/03/14/0/0/3500/2333/110/74/60/0/dfa3629_GGGSHA13_CHINA-SECURITY_0314_11.JPG,
Un nouvel assouplissement des règles dans les Ehpad pour les fêtes de fin d’année,https://img.lemde.fr/2020/12/12/597/381/4224/2816/110/74/60/0/1d3af49_607801591-000-1r385b.jpg,
Le magazine d’investigation « Pièces à conviction » va s’arrêter,https://img.lemde.fr/2020/11/26/0/118/5553/3702/110/74/60/0/0d93be0_116663443-pieces-a-conviction.jpg,
"Derrière « Hold-up », un duo de professionnels de la télé convaincus que la vérité ne serait pas celle que l’on croit",https://img.lemde.fr/2020/11/26/0/0/4320/2880/110/74/60/0/56ef6cd_185545205-sipa-00991347000041.jpg,
"Hubert Henrotte, ancien patron des agences photo Gamma et Sygma, est mort",https://img.lemde.fr/2020/11/25/0/0/2793/1862/110/74/60/0/923a9b4_207232905-grk-gan7980-100.jpg,
